,"L,v","U,v (mmol/gDW-hr)",,,,b,10,mmol/gDW-hr,
v1,0,6.580977988,,,,,(/s),(/hr),MM Saturation Term
v2,0,1.242,,,,k1,203,730800,0.900516966
v3,0,8.964,,,,k2,34.5,124200,1
v4,0,3.1716,,,,k3,249,896400,1
v5 (+),0,0.484834233,,,,k4,88.1,317160,1
v5 (-),0,0.5292,,,,k5 (+),13.7,49320,0.983037779
b1,-10,10,,,,k5 (-),14.7,52920,1
b2,-10,10,,,,,,,
b3,-10,10,,,,E,0.01,µmol/gDW,
b4,-10,10,,,,,0.00001,mmol/gDW,
b5,-10,10,,,,,,,
b6,-10,10,,,,,,,
b7,-10,10,,,,,,,
b8,-10,10,,,,,,,
b9,-10,10,,,,,,,
b10,-10,10,,,,,,,
b11,-10,10,,,,,,,
b12,-10,10,,,,,,,
b13,-10,10,,,,,,,
b14 (+),-10,10,,,,,,,
b14 (-),-10,10,,,,,,,
,,,,,,,,,